 4.27138  4.22955  4.09417  3.28235  3.15268  3.74206  3.63953  3.51214 -4.05323 -3.35207 -3.79815 -3.73971 -3.51972
 4.13173  4.10149  3.95945  3.16934  2.97753  3.51938   3.5803  3.38272  -3.2583 -4.33839 -3.55276 -3.87373 -3.83333
 3.98341  4.00282  3.78574  3.04081  2.87444  3.46785  3.39616  3.24702 -4.10102 -4.31448 -3.46877 -3.52637 -4.20605
 3.87758  3.81822  3.64819   2.8951  2.72066  3.27544   3.2949  3.11209 -3.95905 -4.92424 -3.41325 -3.79513 -3.92896
 3.70315  3.72625   3.5159  2.73155  2.58958  3.15323  3.13152  2.97623 -4.01586 -4.64295 -3.45377 -3.94871 -4.33514
 3.58167  3.52903  3.40245  2.61261  2.47726  3.02349  2.96677  2.78187 -4.28904 -4.53705 -3.65592 -3.45161 -4.04683
 3.41409  3.41168  3.24675  2.51559  2.21511  2.82481  2.92203   2.6093 -3.56494 -4.38555 -3.54959 -3.15021 -3.90419
 3.25165  3.24033  3.06157  2.25718  2.15845  2.73332  2.60768  2.59379 -3.48506 -3.54611 -3.10382 -3.29661 -3.85165
 3.11392  3.07238  2.87852   2.0517  2.00791  2.51613  2.53178  2.38391 -3.41035 -3.19957 -2.96899  -3.8038 -3.97589
 2.90345  2.92443  2.70656  2.03117  1.74559  2.35364  2.40912  2.07017 -3.79885  -3.4333 -3.14352 -3.88928 -3.92291
 2.75191  2.72025  2.59585  1.86315  1.57686  2.23274  2.14105   1.9552 -3.65451 -3.54143 -3.50956 -3.44796 -3.92039
  2.5711  2.48362  2.39179  1.52814  1.48416  1.94883  2.04526  1.88876 -3.28474 -3.32637 -3.29494 -3.29992 -4.04379
 2.33499  2.43298  2.07175  1.27662  1.16218  1.83086  1.71897  1.77091 -3.33916 -2.97922 -3.09699 -3.47567 -3.95853
 2.17877   2.0704  1.95825  1.15635  1.10946  1.60897  1.58319  1.34794 -3.53029 -3.03317  -3.2431   -3.487 -3.70838
 1.93733  1.89438  1.78897  1.13149 0.667626  1.37408    1.531 0.898513  -3.0698 -2.94692 -3.63504 -3.22733 -3.70485
 1.66704  1.70805  1.47657 0.837573 0.598456  1.13798  1.06568  1.08754 -2.77812 -2.85502 -3.43101  -3.1647 -3.87016
 1.54294  1.41073  1.24564 0.333308 0.294748  1.07053 0.816939 0.922409  -3.1555 -2.64292 -3.37573 -3.35301 -4.26735
   1.07637    1.17657    1.02138 0.00802068   0.109237   0.459948   0.863744   0.367112   -3.82297   -2.76363   -3.68694   -3.75057   -4.53475
  1.08937  0.837757  0.691293 0.0502634 -0.254134   0.68651  0.114511 0.0798135  -3.34508  -2.82495  -4.17268  -4.01445  -4.68064
   0.38246   0.648278   0.362554 -0.0853484  -0.739058  -0.173794   0.255741  -0.300721    -2.6682   -2.93965   -4.36478   -3.92125   -4.62508
